"","domain","phylum","class","order","family","genus","species"
"ASV2170","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","unclassified_Oxalobacteraceae","unclassified_Oxalobacteraceae"
"ASV2171","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","unclassified_Micromonosporaceae","unclassified_Micromonosporaceae"
"ASV2172","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_Sphingomonadaceae","unclassified_Sphingomonadaceae"
"ASV2173","Bacteria","Firmicutes","Bacilli","Lactobacillales","unclassified_Lactobacillales","unclassified_Lactobacillales","unclassified_Lactobacillales"
"ASV2174","Bacteria","Firmicutes","Bacilli","Lactobacillales","unclassified_Lactobacillales","unclassified_Lactobacillales","unclassified_Lactobacillales"
"ASV2175","Bacteria","Firmicutes","unclassified_Firmicutes","unclassified_Firmicutes","unclassified_Firmicutes","unclassified_Firmicutes","unclassified_Firmicutes"
"ASV2176","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","unclassified_Lactococcus"
"ASV2177","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","unclassified_Rikenellaceae","unclassified_Rikenellaceae"
"ASV2178","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","unclassified_Ramlibacter"
"ASV2179","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","unclassified_Eggerthellaceae","unclassified_Eggerthellaceae"
"ASV2180","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","unclassified_Conexibacter"
"ASV2181","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_Sphingomonadaceae","unclassified_Sphingomonadaceae"
"ASV2182","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","unclassified_Altererythrobacter"
