"","domain","phylum","class","order","family","genus","species"
"ASV252","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","unclassified_Yersiniaceae","unclassified_Yersiniaceae"
"ASV253","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","unclassified_Mucilaginibacter"
"ASV254","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"ASV255","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV256","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","unclassified_Ensifer"
"ASV257","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unclassified_Blastococcus"
"ASV258","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","unclassified_Arthrobacter"
"ASV259","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","unclassified_Acetobacteraceae","unclassified_Acetobacteraceae"
"ASV260","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","unclassified_Micromonosporaceae","unclassified_Micromonosporaceae"
"ASV261","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV262","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","unclassified_Micromonosporaceae","unclassified_Micromonosporaceae"
"ASV263","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_Sphingomonadaceae","unclassified_Sphingomonadaceae"
"ASV264","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus","unclassified_Geodermatophilus"
"ASV265","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales"
"ASV266","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV267","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV268","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV269","Bacteria","Actinobacteriota","Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia"
"ASV270","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","unclassified_Skermanella"
"ASV271","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter","unclassified_Adhaeribacter"
"ASV272","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","unclassified_Micrococcaceae","unclassified_Micrococcaceae"
"ASV273","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"ASV274","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","unclassified_Chloroplast","unclassified_Chloroplast","unclassified_Chloroplast"
"ASV275","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus","unclassified_Geodermatophilus"
"ASV276","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura","unclassified_Actinomadura"
"ASV277","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Nibribacter","unclassified_Nibribacter"
"ASV278","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera","unclassified_Quadrisphaera"
"ASV279","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","unclassified_Mycobacterium"
"ASV280","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","unclassified_Burkholderiales","unclassified_Burkholderiales","unclassified_Burkholderiales"
"ASV281","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae","Longimicrobium","unclassified_Longimicrobium"
"ASV282","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unclassified_Blastococcus"
"ASV283","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_Comamonadaceae","unclassified_Comamonadaceae"
"ASV284","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella","unclassified_Nakamurella"
"ASV285","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","unclassified_Pseudonocardia"
"ASV286","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","unclassified_Microvirga"
"ASV287","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV288","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV289","Bacteria","Actinobacteriota","Actinobacteria","unclassified_Actinobacteria","unclassified_Actinobacteria","unclassified_Actinobacteria","unclassified_Actinobacteria"
"ASV290","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","unclassified_Novosphingobium"
"ASV291","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","unclassified_Oxalobacteraceae","unclassified_Oxalobacteraceae"
"ASV292","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Belnapia","unclassified_Belnapia"
"ASV293","Bacteria","Myxococcota","Polyangia","unclassified_Polyangia","unclassified_Polyangia","unclassified_Polyangia","unclassified_Polyangia"
"ASV294","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","unclassified_Roseomonas"
"ASV295","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","unclassified_Brevibacterium"
"ASV296","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","unclassified_Limnobacter"
"ASV297","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV298","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV299","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","unclassified_Saccharopolyspora"
